EX_cpd01030_e	Salicin
EX_cpd00276_e	D-Glucosamine
EX_cpd00082_e	D-Fructose
EX_cpd00080_e	Glycerol-3-phosphate
EX_cpd00001_e	H2O
EX_cpd00023_e	L-Glutamate
EX_cpd00971_e	Na+
EX_cpd00314_e	D-Mannitol
EX_cpd00797_e	(R)-3-Hydroxybutanoate
EX_cpd00051_e	L-Arginine
EX_cpd00064_e	Ornithine
EX_cpd10515_e	Fe2+
EX_cpd00179_e	Maltose
EX_cpd00009_e	Phosphate
EX_cpd00060_e	L-Methionine
EX_cpd00076_e	Sucrose
EX_cpd01171_e	Dulcose
EX_cpd00067_e	H+
EX_cpd00154_e	Xylose
EX_cpd00637_e	D-Methionine
EX_cpd00122_e	N-Acetyl-D-glucosamine
EX_cpd00035_e	L-Alanine
EX_cpd00309_e	Xanthine
EX_cpd00220_e	Riboflavin
EX_cpd00588_e	Sorbitol
EX_cpd00117_e	D-Alanine
EX_cpd00307_e	Cytosine
EX_cpd00254_e	Mg
EX_cpd00205_e	K+
EX_cpd00138_e	D-Mannose
EX_cpd00305_e	Thiamin
EX_cpd01242_e	Thyminose
EX_cpd03048_e	Isethionate
EX_cpd00065_e	L-Tryptophan
EX_cpd00149_e	Co2+
EX_cpd00099_e	Cl-
EX_cpd00162_e	Aminoethanol
EX_cpd00395_e	L-Cysteate
EX_cpd00027_e	D-Glucose
EX_cpd00794_e	D-Trehalose
EX_cpd00105_e	D-Ribose
EX_cpd00226_e	Hypoxanthine
EX_cpd00104_e	Biotin
EX_cpd00007_e	O2
EX_cpd00092_e	Uracil
EX_cpd00208_e	Lactose
EX_cpd00158_e	Cellobiose
EX_cpd00011_e	CO2
EX_cpd00063_e	Ca2+
EX_cpd01080_e	Octadecanoic_acid
EX_cpd00156_e	L-Valine
EX_cpd00039_e	L-Lysine
EX_cpd00393_e	Folate
EX_cpd00264_e	Spermidine
EX_cpd00322_e	L-Isoleucine
EX_cpd00030_e	Mn2+
EX_cpd00516_e	meso-2,6-Diaminopimelate
EX_cpd00084_e	L-Cysteine
EX_cpd00644_e	Pantothenate
EX_cpd00263_e	Pyridoxol
EX_cpd00232_e	N-Acetyl-Neuraminic_acid
EX_cpd00492_e	N-Acetyl-D-mannosamine
EX_cpd00751_e	L-Fucose
EX_cpd05161_e	Melezitose
EX_cpd00107_e	L-Leucine
EX_cpd00069_e	L-Tyrosine
EX_cpd00066_e	L-Phenylalanine
EX_cpd00129_e	L-Proline
EX_cpd00567_e	D-Proline
EX_cpd29317_e	4-hydroxyproline
EX_cpd00033_e	Glycine
EX_cpd00119_e	L-Histidine
EX_cpd00132_e	L-Asparagine
EX_cpd00054_e	L-Serine
EX_cpd00161_e	L-Threonine
EX_cpd00053_e	L-Glutamine
EX_cpd00041_e	L-Aspartate
EX_cpd05178_e	Isovalerate
EX_cpd01711_e	Isobutyrate
EX_cpd19585_e	2-Methylbutyrate
EX_cpd00489_e	4-Hydroxyphenylacetate
EX_cpd01042_e	p-Cresol
EX_cpd00430_e	Phenylacetate
EX_cpd00339_e	5-Aminopentanoate
EX_C21399_e	Isocaproate
EX_cpd03343_e	Phenylpropanoate
EX_cpd03170_e	4-Hydroxymandelate
EX_cpd00036_e	Succinate
EX_cpd00211_e	Butyrate
EX_cpd00029_e	Acetate
EX_cpd00159_e	L-Lactate
EX_cpd00221_e	D-Lactate
EX_cpd00141_e	Propionate
EX_cpd00013_e	Ammonia
EX_cpd00242_e	Carbonate
EX_cpd00133_e	Nicotinamide
EX_cpd00443_e	4-Aminobenzoate
EX_cpd00210_e	Taurine
EX_cpd11592_e	gly-glu-L
EX_cpd11590_e	met-L-ala-L
EX_cpd11588_e	gly-pro-L
EX_cpd11586_e	ala-L-glu-L
EX_cpd11582_e	ala-L-Thr-L
EX_cpd11581_e	gly-asn-L
EX_cpd15551_e	L-Prolinylglycine
EX_cpd15603_e	Gly-Cys
EX_cpd15604_e	Gly-Leu
EX_cpd15605_e	Gly-Phe
EX_cpd15606_e	Gly-Tyr
EX_cpd29695_e	L-ala-L-asp
EX_cpd29694_e	L-ala-gly
EX_cpd29697_e	L-ala-L-his
EX_cpd29698_e	L-ala-L-leu
EX_cpd29696_e	L-ala-L-gln
EX_cpd29699_e	L-ala-L-thr
EX_cpd29693_e	gly-L-met
EX_cpd29690_e	gly-L-asn
EX_cpd29691_e	gly-L-gln
EX_cpd29700_e	L-met-L-ala
EX_cpd00320_e	D-Aspartate
EX_cpd02711_e	2-keto-3-deoxygluconate
EX_cpd01553_e	Saligenin
EX_cpd00589_e	D-Tagatose
EX_cpd27607_e	N-Acetyl-D-Galactosamine
EX_cpd00731_e	Ala-ala
EX_cpd00072_e	D-fructose-6-phosphate
EX_cpd00089_e	Glucose-1-phosphate
EX_cpd00079_e	D-glucose-6-phosphate
EX_cpd00108_e	Galactose
EX_cpd00136_e	4-Hydroxybenzoate
EX_cpd03561_e	2-Hydroxybutyrate
EX_cpd00106_e	Fumarate
EX_cpd00142_e	Acetoacetate
EX_cpd00383_e	Shikimate
EX_cpd00047_e	Formate
EX_cpd00139_e	Glycolate
EX_cpd00281_e	GABA
EX_cpd00165_e	Hydroxylamine
EX_cpd03279_e	Deoxyinosine
EX_cpd00246_e	Inosine
EX_cpd00311_e	Guanosine
EX_cpd00367_e	Cytidine
EX_cpd00277_e	Deoxyguanosine
EX_cpd00182_e	Adenosine
EX_cpd00654_e	Deoxycytidine
EX_cpd00412_e	Deoxyuridine
EX_cpd00438_e	Deoxyadenosine
EX_cpd00274_e	Citrulline
EX_cpd00186_e	D-Glutamate
EX_cpd00424_e	Cystathionine
EX_cpd00504_e	LL-2,6-Diaminopimelate
EX_cpd00155_e	Glycogen
EX_cpd00042_e	Glutathione
EX_cpd00085_e	beta-Alanine
EX_cpd00152_e	Agmatine
EX_cpd00100_e	Glycerol
EX_cpd00098_e	Choline
EX_cpd00207_e	Guanine
EX_cpd11574_e	Molybdate
EX_cpd04097_e	Lead
EX_cpd01012_e	Cadmium_2+
EX_cpd00531_e	Mercury_2+
EX_cpd00058_e	Copper_2+
